DataPoint,Normalized_X,Normalized_Y,Percentage_Value,Index_0_100
1,0.0,0.4541910331384016,45.41910331384016,45.41910331384016
2,0.00020004000800160032,0.4534189488969919,45.34189488969919,45.34189488969919
3,0.00040008001600320064,0.4526468646555822,45.26468646555822,45.26468646555822
4,0.000600120024004801,0.4518747804141725,45.18747804141725,45.18747804141725
5,0.0008001600320064013,0.45110269617276283,45.11026961727628,45.11026961727628
6,0.0010002000400080016,0.45033061193135315,45.03306119313532,45.03306119313532
7,0.001200240048009602,0.4495585276899434,44.95585276899434,44.95585276899434
8,0.0014002800560112022,0.44878644344853375,44.87864434485338,44.87864434485338
9,0.0016003200640128026,0.44790478563548963,44.790478563548966,44.790478563548966
10,0.0018003600720144029,0.44687533998027673,44.687533998027675,44.687533998027675
11,0.002000400080016003,0.44584589432506383,44.584589432506384,44.584589432506384
12,0.0022004400880176033,0.44481644866985093,44.48164486698509,44.48164486698509
13,0.002400480096019204,0.44378700301463797,44.378700301463795,44.378700301463795
14,0.0026005201040208044,0.44275755735942507,44.275755735942504,44.275755735942504
15,0.0028005601120224045,0.44172811170421217,44.17281117042122,44.17281117042122
16,0.0030006001200240046,0.44069866604899927,44.06986660489993,44.06986660489993
17,0.003200640128025605,0.4398883675370551,43.98883675370551,43.98883675370551
18,0.0034006801360272057,0.43911628329564545,43.91162832956454,43.91162832956454
19,0.0036007201440288058,0.4383441990542358,43.83441990542358,43.83441990542358
20,0.003800760152030406,0.4375721148128261,43.75721148128261,43.75721148128261
21,0.004000800160032006,0.4368000305714164,43.68000305714164,43.68000305714164
22,0.004200840168033607,0.43602794633000674,43.60279463300068,43.60279463300068
23,0.004400880176035207,0.43525586208859707,43.52558620885971,43.52558620885971
24,0.004600920184036807,0.4342696999438874,43.42696999438874,43.42696999438874
25,0.004800960192038408,0.43272553146106807,43.27255314610681,43.27255314610681
26,0.005001000200040008,0.4311813629782487,43.11813629782487,43.11813629782487
27,0.005201040208041609,0.4296371944954293,42.96371944954293,42.96371944954293
28,0.0054010802160432084,0.42809302601260996,42.809302601260995,42.809302601260995
29,0.005601120224044809,0.4265488575297906,42.65488575297906,42.65488575297906
30,0.0058011602320464095,0.4250046890469712,42.50046890469712,42.50046890469712
31,0.006001200240048009,0.42346052056415184,42.34605205641518,42.34605205641518
32,0.00620124024804961,0.42209728495406684,42.20972849540669,42.20972849540669
33,0.00640128025605121,0.4208104778850507,42.081047788505074,42.081047788505074
34,0.006601320264052811,0.4195236708160346,41.952367081603455,41.952367081603455
35,0.006801360272054411,0.4182368637470184,41.82368637470184,41.82368637470184
36,0.007001400280056011,0.4169500566780023,41.69500566780023,41.69500566780023
37,0.0072014402880576115,0.4156632496089861,41.56632496089861,41.56632496089861
38,0.007401480296059212,0.41437644253996997,41.437644253997,41.437644253997
39,0.007601520304060812,0.4131227805015194,41.31227805015194,41.31227805015194
40,0.007801560312062412,0.41209333484630645,41.20933348463065,41.20933348463065
41,0.008001600320064013,0.41106388919109355,41.10638891910936,41.10638891910936
42,0.008201640328065612,0.41003444353588064,41.003444353588065,41.003444353588065
43,0.008401680336067214,0.40900499788066774,40.900499788066774,40.900499788066774
44,0.008601720344068814,0.40797555222545484,40.79755522254548,40.79755522254548
45,0.008801760352070413,0.4069461065702419,40.694610657024185,40.694610657024185
46,0.009001800360072015,0.405916660915029,40.5916660915029,40.5916660915029
47,0.009201840368073614,0.40460177805541614,40.46017780554161,40.46017780554161
48,0.009401880376075216,0.40305760957259673,40.30576095725967,40.30576095725967
49,0.009601920384076815,0.4015134410897774,40.15134410897774,40.15134410897774
50,0.009801960392078415,0.399969272606958,39.996927260695806,39.996927260695806
51,0.010002000400080016,0.3984251041241386,39.84251041241386,39.84251041241386
52,0.010202040408081616,0.39688093564131927,39.688093564131925,39.688093564131925
53,0.010402080416083218,0.3953367671584999,39.53367671584999,39.53367671584999
54,0.010602120424084817,0.39379259867568056,39.37925986756806,39.37925986756806
55,0.010802160432086417,0.3930053067143643,39.30053067143643,39.30053067143643
56,0.011002200440088018,0.3922332224729546,39.223322247295464,39.223322247295464
57,0.011202240448089618,0.39146113823154494,39.146113823154494,39.146113823154494
58,0.011402280456091218,0.39068905399013526,39.06890539901352,39.06890539901352
59,0.011602320464092819,0.3899169697487256,38.99169697487256,38.99169697487256
60,0.011802360472094419,0.3891448855073159,38.91448855073159,38.91448855073159
61,0.012002400480096018,0.38837280126590623,38.83728012659062,38.83728012659062
62,0.01220244048809762,0.38739170836116543,38.73917083611654,38.73917083611654
63,0.01240248049609922,0.3861049012921493,38.61049012921493,38.61049012921493
64,0.01260252050410082,0.3848180942231331,38.48180942231331,38.48180942231331
65,0.01280256051210242,0.383531287154117,38.3531287154117,38.3531287154117
66,0.01300260052010402,0.38224448008510087,38.22444800851009,38.22444800851009
67,0.013202640528105622,0.3809576730160847,38.09576730160847,38.09576730160847
68,0.013402680536107221,0.37967086594706856,37.967086594706856,37.967086594706856
69,0.013602720544108823,0.3783840588780524,37.83840588780524,37.83840588780524
70,0.013802760552110422,0.3768831739057363,37.68831739057363,37.68831739057363
71,0.014002800560112022,0.3753390054229169,37.53390054229169,37.53390054229169
72,0.014202840568113623,0.3737948369400975,37.37948369400975,37.37948369400975
73,0.014402880576115223,0.37225066845727817,37.22506684572782,37.22506684572782
74,0.014602920584116823,0.3707064999744588,37.070649997445884,37.070649997445884
75,0.014802960592118424,0.36916233149163946,36.91623314916394,36.91623314916394
76,0.015003000600120024,0.36761816300882005,36.761816300882,36.761816300882
